search_role,title,company,location,state,salary,experience_required,description,updated,link,skills_auto,is_core_data_role
data analyst,Data Quality Analyst,WeyBee Solutions Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"# Design, implement, and execute   data  validation and data cleansing  processes. 
# Monitor and evaluate data sets for  accuracy, completeness...  ...identify anomalies. 
# Work closely with  data engineers, BI  analysts,  and business teams  to define and enforce  data quality rules...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-7897151293341446366,"bi, data, data engineer",True
data analyst,Senior Data Analyst,WeyBee Solutions Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"# Collect, clean, and validate  data  from multiple sources to ensure accuracy and reliability. 
# Analyze complex datasets to identify...  ...data pipelines. 
# Provide guidance and mentorship to junior  analysts  within the team. 
# Document processes, methodologies, and findings...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/1235216392300463110,"ability, bi, data, data pipelines, datasets, pipeline, pipelines, reliability",True
data analyst,Digital Marketing Analyst,APPNWEB Technologies,India,N/A,Not disclosed,Not mentioned,"...email marketing  , and  social media advertising  . 
# Collaborate with the marketing and content teams to optimize strategies. 
# Identify trends, insights, and opportunities for growth. 
# Use  A/B testing  and   data  visualization tools  to improve results....",2025-11-01T16:50:27.5630000,https://jooble.org/jdp/-8116157699182570036,"ai, data, email",False
data analyst,Data Engineer,Arna Softech,India,N/A,Not disclosed,Not mentioned,"# Design, develop, and maintain  ETL pipelines  and   data  workflows  . 
# Work with  structured and unstructured data  from multiple sources. 
# Collaborate with data scientists,  analysts,  and business teams to  provide clean and reliable data  . 
# Optimize  data storage...",2025-11-01T00:00:00.0000000,https://jooble.org/jdp/-359541723093599836,"ai, data, data scientists, data storage, etl, maintain, pipeline, pipelines",True
data analyst,Data Engineer,AheadRace Software Development Services Pvt Ltd,India,N/A,Not disclosed,Not mentioned,"...Design, develop, and maintain scalable  ETL/ELT pipelines 
# Build  data  integration workflows from various data sources (APIs, files,...  ..., security, and compliance standards 
# Collaborate with data  analysts,  BI teams, and software developers 
# Monitor and troubleshoot...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-4798522485596895228,"ai, api, apis, bi, data, data sources, etl, maintain, pipeline, pipelines",True
data analyst,Business Analyst,Innvonix Tech Solutions Private Limited,India,N/A,Not disclosed,Not mentioned,"...business stakeholders to ensure smooth project execution. 
# Assist in defining project scope, objectives, and deliverables. 
# Perform   data  analysis  using SQL, Excel, or BI tools to support decision-making. 
# Conduct  User Acceptance Testing (UAT) and validate...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/3084267760082808364,"bi, bi tools, data, sql, using sql",True
data analyst,Business Analyst,Virtual Height IT Services Pvt. Ltd.,India,N/A,Not disclosed,Not mentioned,"...Documents (FRD), and Use Cases  . 
# Develop  user stories, acceptance criteria, and workflows  for Agile/Scrum projects. 
# Perform   data  analysis using SQL/Excel/BI tools  to support decision-making. 
# Support project planning, effort estimation, and scope management...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/-4966303826292519011,"bi, bi tools, data, excel bi, sql, sql excel, using sql",True
data analyst,Business Analyst,Esferasoft Solutions Pvt. Ltd.,India,N/A,Not disclosed,Not mentioned,"...and desired processes. 
# Work with developers, QA, and project managers to ensure solution alignment. 
# Create workflow diagrams,  data  models, and business process documents. 
# Conduct market and competitive research to support business strategies. 
# Track...",2025-10-28T15:52:58.1100000,https://jooble.org/jdp/1389152280727694054,data,True
data analyst,Business Analyst,Logix Built Solutions Limited,India,N/A,Not disclosed,Not mentioned,"...(Business Requirement Documents), FRDs (Functional Requirement Documents), SRS (Software Requirement Specifications) . 
# Conduct   data  analysis  using SQL, Excel, or BI tools to provide insights and recommendations. 
# Collaborate with the development and QA teams to...",2025-10-28T00:00:00.0000000,https://jooble.org/jdp/4320212308416012280,"bi, bi tools, data, sql, using sql",True
data analyst,Business Analyst,Codiant Software Technologies,India,N/A,Not disclosed,Not mentioned,"...processes, and workflows. 
# Prepare  Business Requirement Documents (BRD) and  Functional Requirement Documents (FRD) . 
# Conduct   data  analysis  to identify trends, issues, and opportunities for improvement. 
# Collaborate with  developers, testers, and project...",2025-11-01T00:00:00.0000000,https://jooble.org/jdp/-495882488816901150,data,True
